,close
0,-1.983740430523234
1,-2.001420047295355
2,-1.9967054828227895
3,-1.9967054828227895
4,-1.9967054828227895
5,-2.001420047295355
6,-1.9967054828227895
7,-1.9967054828227895
8,-1.9884549949957995
9,-1.9967054828227895
10,-1.9967054828227895
11,-1.992580238909295
12,-1.9967054828227895
13,-1.9967054828227895
14,-1.9967054828227895
15,-1.9967054828227895
16,-1.9967054828227895
17,-1.9967054828227895
18,-1.992580238909295
19,-1.992580238909295
20,-1.9967054828227895
21,-1.992580238909295
22,-1.992580238909295
23,-1.992580238909295
24,-1.9967054828227895
25,-1.9967054828227895
26,-1.9967054828227895
27,-1.9967054828227895
28,-1.9967054828227895
29,-2.001420047295355
30,-2.0055452912088505
31,-2.0055452912088505
32,-2.001420047295355
33,-1.992580238909295
34,-2.001420047295355
35,-2.0055452912088505
36,-2.001420047295355
37,-2.001420047295355
38,-2.001420047295355
39,-2.001420047295355
40,-2.0055452912088505
41,-2.001420047295355
42,-1.9967054828227895
43,-1.9967054828227895
44,-1.9967054828227895
45,-2.001420047295355
46,-2.001420047295355
47,-2.001420047295355
48,-1.9967054828227895
49,-1.9967054828227895
50,-1.9967054828227895
51,-1.9967054828227895
52,-1.9967054828227895
53,-2.001420047295355
54,-2.001420047295355
55,-2.0055452912088505
56,-2.0055452912088505
57,-2.0055452912088505
58,-2.009670535122345
59,-2.0055452912088505
60,-2.0143850995949104
61,-2.0143850995949104
62,-2.0055452912088505
63,-2.0055452912088505
64,-2.0055452912088505
65,-2.0055452912088505
66,-2.009670535122345
67,-2.009670535122345
68,-2.009670535122345
69,-2.009670535122345
70,-2.009670535122345
71,-2.0143850995949104
72,-2.009670535122345
73,-2.0143850995949104
74,-2.0143850995949104
75,-2.0185103435084057
76,-2.0185103435084057
77,-2.0143850995949104
78,-2.0143850995949104
79,-2.0185103435084057
80,-2.0185103435084057
81,-2.0185103435084057
82,-2.0143850995949104
83,-2.0185103435084057
84,-2.0143850995949104
85,-2.0143850995949104
86,-2.0143850995949104
87,-2.0185103435084057
88,-2.0185103435084057
89,-2.0185103435084057
90,-2.0143850995949104
91,-2.0143850995949104
92,-2.0226355874219
93,-2.0273501518944657
94,-2.0226355874219
95,-2.0226355874219
96,-2.0226355874219
97,-2.0185103435084057
98,-2.0273501518944657
99,-2.0226355874219
100,-2.0273501518944657
101,-2.0273501518944657
102,-2.0273501518944657
103,-2.0314753958079614
104,-2.0314753958079614
105,-2.0314753958079614
106,-2.0314753958079614
107,-2.0314753958079614
108,-2.0314753958079614
109,-2.0314753958079614
110,-2.0314753958079614
111,-2.035600639721456
112,-2.0314753958079614
113,-2.035600639721456
114,-2.035600639721456
115,-2.0314753958079614
116,-2.0314753958079614
117,-2.0314753958079614
118,-2.0314753958079614
119,-2.0314753958079614
120,-2.0314753958079614
121,-2.0273501518944657
122,-2.0273501518944657
123,-2.0314753958079614
124,-2.0314753958079614
125,-2.0273501518944657
126,-2.0226355874219
127,-2.0226355874219
128,-2.0226355874219
129,-2.0185103435084057
130,-2.0226355874219
131,-2.0226355874219
132,-2.0185103435084057
133,-2.0185103435084057
134,-2.0185103435084057
135,-2.0185103435084057
136,-2.0185103435084057
137,-2.0185103435084057
138,-2.0185103435084057
139,-2.0185103435084057
140,-2.0185103435084057
141,-2.0226355874219
142,-2.0226355874219
143,-2.0226355874219
144,-2.0226355874219
145,-2.0226355874219
146,-2.0226355874219
147,-2.0226355874219
148,-2.0226355874219
149,-2.0226355874219
150,-2.0226355874219
151,-2.0226355874219
152,-2.0226355874219
153,-2.0185103435084057
154,-2.0226355874219
155,-2.0226355874219
156,-2.0226355874219
157,-2.0226355874219
158,-2.0226355874219
159,-2.0185103435084057
160,-2.0185103435084057
161,-2.0185103435084057
162,-2.0185103435084057
163,-2.0185103435084057
164,-2.0185103435084057
165,-2.0226355874219
166,-2.0226355874219
167,-2.0185103435084057
168,-2.0226355874219
169,-2.0185103435084057
170,-2.0185103435084057
171,-2.0185103435084057
172,-2.0185103435084057
173,-2.0185103435084057
174,-2.0226355874219
175,-2.0185103435084057
176,-2.0226355874219
177,-2.0226355874219
178,-2.0226355874219
179,-2.0226355874219
180,-2.0226355874219
181,-2.0185103435084057
182,-2.0185103435084057
183,-2.0185103435084057
184,-2.0185103435084057
185,-2.0226355874219
186,-2.0185103435084057
187,-2.0185103435084057
188,-2.0185103435084057
189,-2.0185103435084057
190,-2.0226355874219
191,-2.0226355874219
192,-2.0226355874219
193,-2.0226355874219
194,-2.0226355874219
195,-2.0226355874219
196,-2.0226355874219
197,-2.0226355874219
198,-2.0226355874219
199,-2.0226355874219
200,-2.0273501518944657
201,-2.0273501518944657
202,-2.0273501518944657
203,-2.0314753958079614
204,-2.0273501518944657
205,-2.0273501518944657
206,-2.0444404481075167
207,-2.0403152041940222
208,-2.0444404481075167
209,-2.0444404481075167
210,-2.0444404481075167
211,-2.0444404481075167
212,-2.0444404481075167
213,-2.0444404481075167
214,-2.0444404481075167
215,-2.0444404481075167
216,-2.0444404481075167
217,-2.0444404481075167
218,-2.0444404481075167
219,-2.048565692021012
220,-2.048565692021012
221,-2.0444404481075167
222,-2.0444404481075167
223,-2.0444404481075167
224,-2.0444404481075167
225,-2.0444404481075167
226,-2.0403152041940222
227,-2.0444404481075167
228,-2.0444404481075167
229,-2.0403152041940222
230,-2.035600639721456
231,-2.0444404481075167
232,-2.0444404481075167
233,-2.0444404481075167
234,-2.0226355874219
235,-2.0226355874219
236,-2.0226355874219
237,-2.0226355874219
238,-2.0273501518944657
239,-2.0273501518944657
240,-2.0273501518944657
241,-2.035600639721456
242,-2.035600639721456
243,-2.035600639721456
244,-2.035600639721456
245,-2.035600639721456
246,-2.035600639721456
247,-2.035600639721456
248,-2.0314753958079614
249,-2.0273501518944657
250,-2.035600639721456
251,-2.0403152041940222
252,-2.0403152041940222
253,-2.0403152041940222
254,-2.0444404481075167
255,-2.0403152041940222
256,-2.0403152041940222
257,-2.035600639721456
258,-2.035600639721456
259,-2.0314753958079614
260,-2.0403152041940222
261,-2.0403152041940222
262,-2.0403152041940222
263,-2.0403152041940222
264,-2.0403152041940222
265,-2.0403152041940222
266,-2.0444404481075167
267,-2.0444404481075167
268,-2.0403152041940222
269,-2.0403152041940222
270,-2.0403152041940222
271,-2.0403152041940222
272,-2.0403152041940222
273,-2.0403152041940222
274,-2.035600639721456
275,-2.035600639721456
276,-2.035600639721456
277,-2.035600639721456
278,-2.0403152041940222
279,-2.0403152041940222
280,-2.0403152041940222
281,-2.0403152041940222
282,-2.0403152041940222
283,-2.0403152041940222
284,-2.0403152041940222
285,-2.0403152041940222
286,-2.0403152041940222
287,-2.035600639721456
288,-2.0314753958079614
289,-2.035600639721456
290,-2.0273501518944657
291,-2.035600639721456
292,-2.0403152041940222
293,-2.0403152041940222
294,-2.0403152041940222
295,-2.035600639721456
296,-2.035600639721456
297,-2.0403152041940222
298,-2.0403152041940222
299,-2.0403152041940222
300,-2.0403152041940222
301,-2.0403152041940222
302,-2.0403152041940222
303,-2.0403152041940222
304,-2.035600639721456
305,-2.035600639721456
306,-2.035600639721456
307,-2.035600639721456
308,-2.0314753958079614
309,-2.035600639721456
310,-2.0314753958079614
311,-2.035600639721456
312,-2.035600639721456
313,-2.0314753958079614
314,-2.0314753958079614
315,-2.0314753958079614
316,-2.0314753958079614
317,-2.0314753958079614
318,-2.0314753958079614
319,-2.035600639721456
320,-2.035600639721456
321,-2.0314753958079614
322,-2.0314753958079614
323,-2.0314753958079614
324,-2.0314753958079614
325,-2.0314753958079614
326,-2.0314753958079614
327,-2.035600639721456
328,-2.035600639721456
329,-2.035600639721456
330,-2.035600639721456
331,-2.035600639721456
332,-2.035600639721456
333,-2.035600639721456
334,-2.035600639721456
335,-2.035600639721456
336,-2.035600639721456
337,-2.035600639721456
338,-2.035600639721456
339,-2.035600639721456
340,-2.035600639721456
